dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
pendigits,RuleKit_mincov-5_measure-C2_maxNbRules-3,10,1.176,1.176,1.176,30.0,6.5,195.0,0.852,0.841,0.851,0.84,0.339,0.339,0.339,0.0,0.133,4.0,0.012,0.015,0.012,0.015
pendigits,RuleKit_mincov-5_measure-C2_maxNbRules-5,10,1.972,1.972,1.972,49.9,6.533,326.0,0.907,0.894,0.907,0.894,0.605,0.605,0.605,0.316,0.085,4.243,0.01,0.013,0.01,0.014
pendigits,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,10,43.252,43.252,43.252,776.5,5.912,4590.5,0.951,0.933,0.951,0.933,10.532,10.532,10.532,19.541,0.063,131.312,0.003,0.008,0.003,0.008
pendigits,RuleKit_mincov-5_measure-Correlation,10,14.909,14.909,14.909,139.5,6.407,893.9,0.93,0.919,0.93,0.919,4.764,4.764,4.764,11.787,0.098,77.998,0.005,0.01,0.005,0.01
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,10,10.288,10.288,10.288,96.0,6.801,652.9,0.934,0.923,0.934,0.923,3.759,3.759,3.759,1.563,0.114,16.875,0.006,0.008,0.007,0.008
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,10,36.023,36.023,36.023,404.7,6.838,2768.1,0.932,0.922,0.932,0.922,10.851,10.851,10.851,15.528,0.091,133.508,0.004,0.007,0.004,0.007
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,10,24.634,24.634,24.634,127.4,6.749,859.8,0.936,0.926,0.936,0.926,6.234,6.234,6.234,8.834,0.07,59.922,0.005,0.008,0.006,0.008
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,10,42.719,42.719,42.719,245.3,6.837,1677.3,0.936,0.927,0.936,0.928,10.643,10.643,10.643,12.859,0.095,92.387,0.004,0.006,0.004,0.006
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,10,2.336,2.336,2.336,30.0,6.713,201.4,0.891,0.883,0.89,0.882,0.716,0.716,0.716,0.0,0.191,5.739,0.004,0.012,0.004,0.012
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,10,4.951,4.951,4.951,50.0,6.918,345.9,0.912,0.905,0.912,0.905,1.675,1.675,1.675,0.0,0.087,4.358,0.017,0.017,0.017,0.018
pendigits,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,10,60.109,60.109,60.109,346.6,6.821,2365.2,0.933,0.923,0.933,0.923,15.052,15.052,15.052,25.282,0.106,188.924,0.005,0.008,0.005,0.008
skin_segmentation,AQ15,2,34.637,34.637,34.637,155.4,2.658,414.8,0.987,0.987,0.969,0.969,13.463,13.463,13.463,45.434,0.083,123.813,0.013,0.013,0.031,0.03
skin_segmentation,BRCG,2,2.598,10.194,2.598,0.0,,0.0,0.792,0.792,0.5,0.5,0.057,0.069,0.057,0.0,,0.0,0.0,0.0,0.0,0.0
skin_segmentation,CN2_default,2,97.227,97.325,97.23,535.7,2.619,1390.7,1.0,0.999,1.0,0.999,59.462,59.517,59.466,242.88,0.103,596.353,0.0,0.0,0.0,0.0
skin_segmentation,CN2_v2,2,423.555,423.956,423.585,1253.2,2.165,2716.6,1.0,0.999,1.0,0.998,19.133,19.153,19.137,84.609,0.059,240.861,0.0,0.0,0.0,0.001
skin_segmentation,IDS,2,155.39,155.52,155.405,15.4,1.421,21.7,0.792,0.792,0.5,0.5,6.928,6.925,6.93,2.757,0.125,3.268,0.0,0.0,0.0,0.0
skin_segmentation,JRip,2,141.781,28069.937,647.468,35.0,5.501,192.5,1.0,0.999,1.0,0.999,41.194,4904.818,108.076,3.266,0.061,17.815,0.0,0.0,0.0,0.0
skin_segmentation,LORD,2,1.026,1.026,1.026,2302.1,2.312,5321.8,,0.997,,,0.388,0.388,0.388,81.503,0.009,191.594,,0.0,,
skin_segmentation,MLRules,2,26.97,44.626,27.337,100.0,2.212,221.2,0.996,0.996,0.996,0.996,2.875,38.641,3.26,0.0,0.029,2.936,0.0,0.001,0.001,0.001
skin_segmentation,OneR,2,0.195,0.245,0.195,5.0,1.0,5.0,0.887,0.887,0.821,0.821,0.043,0.138,0.043,0.0,0.0,0.0,0.0,0.002,0.0,0.002
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2,2,9.947,9.947,9.947,12.0,1.9,22.8,0.955,0.955,0.924,0.923,0.782,0.782,0.782,0.0,0.086,1.033,0.006,0.007,0.012,0.013
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,2,19.907,19.907,19.907,19.0,2.179,41.4,0.953,0.953,0.938,0.938,1.382,1.382,1.382,0.0,0.027,0.516,0.002,0.003,0.005,0.006
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,2,249.425,249.425,249.425,199.2,2.345,467.2,0.976,0.976,0.966,0.966,14.246,14.246,14.246,0.789,0.014,3.824,0.002,0.002,0.003,0.004
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,2,11.281,11.281,11.281,12.0,1.9,22.8,0.955,0.955,0.924,0.923,1.693,1.693,1.693,0.0,0.086,1.033,0.006,0.007,0.012,0.013
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,2,3.74,3.74,3.74,5.0,2.22,11.1,0.862,0.862,0.875,0.875,0.976,0.976,0.976,0.0,0.063,0.316,0.025,0.026,0.021,0.021
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,2,3.485,3.485,3.485,5.0,2.22,11.1,0.862,0.862,0.875,0.875,0.601,0.601,0.601,0.0,0.063,0.316,0.025,0.026,0.021,0.021
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,2,7.99,7.99,7.99,9.0,2.222,20.0,0.937,0.937,0.927,0.927,0.755,0.755,0.755,0.0,0.0,0.0,0.0,0.001,0.0,0.002
skin_segmentation,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,2,11.928,11.928,11.928,11.0,2.227,24.5,0.94,0.94,0.93,0.929,1.778,1.778,1.778,0.0,0.048,0.527,0.006,0.007,0.014,0.014
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation,2,7.381,7.381,7.381,6.0,2.0,12.0,0.936,0.935,0.877,0.876,0.46,0.46,0.46,0.0,0.0,0.0,0.002,0.002,0.001,0.003
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,2,30.769,30.769,30.769,19.0,2.053,39.0,0.95,0.95,0.943,0.943,3.458,3.458,3.458,0.0,0.0,0.0,0.003,0.003,0.005,0.005
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,2,375.266,375.266,375.266,164.9,2.294,378.2,0.959,0.959,0.972,0.972,17.644,17.644,17.644,5.174,0.026,8.108,0.002,0.002,0.001,0.001
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,2,8.115,8.115,8.115,6.0,2.0,12.0,0.936,0.935,0.877,0.876,1.395,1.395,1.395,0.0,0.0,0.0,0.002,0.002,0.001,0.003
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,2,3.391,3.391,3.391,3.0,2.333,7.0,0.922,0.922,0.869,0.869,0.57,0.57,0.57,0.0,0.0,0.0,0.0,0.001,0.0,0.002
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,4.244,4.244,4.244,5.0,2.2,11.0,0.929,0.929,0.919,0.919,0.164,0.164,0.164,0.0,0.0,0.0,0.003,0.003,0.002,0.002
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,11.123,11.123,11.123,9.0,2.111,19.0,0.944,0.944,0.924,0.924,0.7,0.7,0.7,0.0,0.0,0.0,0.001,0.002,0.001,0.002
skin_segmentation,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,4.513,4.513,4.513,5.0,2.2,11.0,0.929,0.929,0.919,0.919,0.787,0.787,0.787,0.0,0.0,0.0,0.003,0.003,0.002,0.002
skin_segmentation,RuleKit_mincov-5_measure-C2,2,1321.66,1321.66,1321.66,808.0,2.657,2146.9,0.981,0.981,0.985,0.985,51.063,51.063,51.063,30.858,0.019,74.572,0.001,0.002,0.001,0.001
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,20.057,20.057,20.057,19.0,2.179,41.4,0.953,0.953,0.938,0.938,1.387,1.387,1.387,0.0,0.027,0.516,0.002,0.003,0.005,0.006
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,249.117,249.117,249.117,199.2,2.345,467.2,0.976,0.976,0.966,0.966,14.362,14.362,14.362,0.789,0.014,3.824,0.002,0.002,0.003,0.004
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,229.827,229.827,229.827,161.3,2.316,373.6,0.974,0.974,0.96,0.96,40.522,40.522,40.522,5.539,0.013,14.315,0.002,0.002,0.003,0.004
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,550.373,550.373,550.373,374.4,2.466,923.5,0.986,0.986,0.99,0.99,60.803,60.803,60.803,11.108,0.017,29.845,0.001,0.002,0.001,0.001
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,3.49,3.49,3.49,5.0,2.22,11.1,0.862,0.862,0.875,0.875,0.565,0.565,0.565,0.0,0.063,0.316,0.025,0.026,0.021,0.021
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,7.959,7.959,7.959,9.0,2.222,20.0,0.937,0.937,0.927,0.927,0.749,0.749,0.749,0.0,0.0,0.0,0.0,0.001,0.0,0.002
skin_segmentation,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,860.584,860.584,860.584,572.1,2.504,1432.5,0.984,0.984,0.989,0.989,68.628,68.628,68.628,23.9,0.02,66.665,0.001,0.002,0.001,0.001
skin_segmentation,RuleKit_mincov-5_measure-Correlation,2,579.226,579.226,579.226,273.3,2.295,626.6,0.962,0.962,0.965,0.965,33.226,33.226,33.226,13.63,0.056,23.349,0.002,0.003,0.002,0.004
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,2,30.655,30.655,30.655,19.0,2.053,39.0,0.95,0.95,0.943,0.943,3.558,3.558,3.558,0.0,0.0,0.0,0.003,0.003,0.005,0.005
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,2,376.46,376.46,376.46,164.9,2.294,378.2,0.959,0.959,0.972,0.972,17.657,17.657,17.657,5.174,0.026,8.108,0.002,0.002,0.001,0.001
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,2,103.228,103.228,103.228,54.1,2.05,110.9,0.958,0.958,0.96,0.96,20.763,20.763,20.763,2.923,0.01,5.763,0.003,0.003,0.003,0.004
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,2,270.103,270.103,270.103,123.2,2.182,268.8,0.961,0.961,0.969,0.969,42.508,42.508,42.508,5.181,0.05,11.868,0.001,0.002,0.001,0.002
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,2,4.229,4.229,4.229,5.0,2.2,11.0,0.929,0.929,0.919,0.919,0.192,0.192,0.192,0.0,0.0,0.0,0.003,0.003,0.002,0.002
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,2,11.273,11.273,11.273,9.0,2.111,19.0,0.944,0.944,0.924,0.924,0.755,0.755,0.755,0.0,0.0,0.0,0.001,0.002,0.001,0.002
skin_segmentation,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,2,535.865,535.865,535.865,218.3,2.296,501.3,0.96,0.96,0.973,0.973,57.435,57.435,57.435,8.46,0.035,22.662,0.002,0.002,0.001,0.001
skin_segmentation,rulefit,2,227.685,1040.037,227.856,28.6,3.305,94.6,0.986,0.986,0.989,0.988,32.175,104.479,32.267,0.966,0.251,8.897,0.002,0.002,0.002,0.002
sleep,AQ15,5,6122.809,6122.809,6122.809,3620.2,8.423,30632.4,0.702,0.648,0.506,0.446,6237.179,6237.179,6237.179,2032.575,0.339,17700.448,0.065,0.038,0.096,0.066
sleep,CN2_default,5,6995.979,7002.157,6996.56,15077.5,4.396,66274.2,0.879,0.343,0.809,0.202,257.859,258.131,257.981,258.723,0.016,1081.44,0.003,0.003,0.005,0.003
sleep,CN2_v2,5,4525.177,4529.367,4525.636,14885.8,5.44,80971.9,0.902,0.328,0.866,0.203,44.384,44.364,44.358,49.828,0.034,634.209,0.001,0.005,0.002,0.005
sleep,IDS,5,60.02,60.044,60.026,17.5,1.974,34.5,0.498,0.498,0.2,0.2,3.832,3.833,3.832,2.718,0.028,5.061,0.0,0.0,0.0,0.0
sleep,JRip,5,373.751,9219.453,473.652,150.3,6.041,909.5,0.743,0.734,0.588,0.577,74.648,3263.537,105.293,16.097,0.266,119.192,0.003,0.004,0.006,0.006
sleep,LORD,5,5.119,5.119,5.119,35804.7,5.756,206083.7,,0.727,,,0.932,0.932,0.932,245.72,0.091,2396.814,,0.004,,
sleep,MLRules,5,128.843,131.231,128.904,100.0,6.824,682.4,0.741,0.74,0.608,0.606,16.904,19.789,16.936,0.0,0.076,7.633,0.001,0.002,0.002,0.004
sleep,OneR,5,0.333,1.595,0.359,4.0,1.0,4.0,0.611,0.611,0.399,0.399,0.072,2.686,0.087,0.0,0.0,0.0,0.001,0.003,0.001,0.005
sleep,RuleKit_mincov-10perMinClass_measure-C2,5,14.483,14.483,14.483,75.2,7.626,573.5,0.717,0.716,0.559,0.558,1.072,1.072,1.072,0.919,0.173,16.202,0.002,0.003,0.003,0.004
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,5,7.287,7.287,7.287,49.6,6.704,332.5,0.699,0.699,0.593,0.593,0.68,0.68,0.68,0.516,0.144,6.115,0.002,0.003,0.004,0.006
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,5,131.662,131.662,131.662,500.0,8.127,4063.7,0.721,0.72,0.624,0.622,11.83,11.83,11.83,0.0,0.054,26.879,0.001,0.002,0.002,0.004
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,5,7.976,7.976,7.976,39.0,6.544,255.2,0.684,0.685,0.578,0.578,3.193,3.193,3.193,2.108,0.096,14.336,0.005,0.007,0.003,0.005
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,5,24.09,24.09,24.09,94.9,7.065,670.5,0.706,0.705,0.605,0.604,10.388,10.388,10.388,0.316,0.089,9.083,0.002,0.005,0.004,0.008
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,5,1.85,1.85,1.85,14.0,5.95,83.3,0.617,0.617,0.533,0.532,0.208,0.208,0.208,0.0,0.208,2.908,0.001,0.004,0.004,0.006
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,5,3.241,3.241,3.241,24.8,6.156,152.6,0.664,0.664,0.567,0.566,0.378,0.378,0.378,0.422,0.167,2.171,0.002,0.003,0.002,0.003
sleep,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,5,55.974,55.974,55.974,189.4,7.623,1443.9,0.715,0.714,0.615,0.614,20.816,20.816,20.816,2.836,0.078,27.771,0.002,0.003,0.002,0.003
sleep,RuleKit_mincov-10perMinClass_measure-Correlation,5,10.616,10.616,10.616,36.0,6.372,229.4,0.708,0.708,0.543,0.543,1.111,1.111,1.111,0.0,0.108,3.893,0.001,0.003,0.006,0.007
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,5,12.311,12.311,12.311,50.0,6.19,309.5,0.706,0.706,0.56,0.56,0.904,0.904,0.904,0.0,0.078,3.923,0.001,0.003,0.001,0.004
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,5,235.327,235.327,235.327,499.8,7.598,3797.6,0.713,0.712,0.585,0.584,13.647,13.647,13.647,0.632,0.035,18.834,0.001,0.003,0.002,0.005
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,5,5.974,5.974,5.974,19.0,5.905,112.2,0.692,0.691,0.538,0.537,2.178,2.178,2.178,0.0,0.118,2.251,0.001,0.004,0.002,0.005
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,5,15.074,15.074,15.074,45.0,6.293,283.2,0.704,0.704,0.573,0.573,5.567,5.567,5.567,0.0,0.086,3.882,0.001,0.003,0.005,0.006
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,5,2.996,2.996,2.996,14.0,5.571,78.0,0.683,0.683,0.542,0.542,0.331,0.331,0.331,0.0,0.202,2.828,0.003,0.004,0.005,0.006
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,5,5.407,5.407,5.407,25.0,5.808,145.2,0.704,0.703,0.557,0.557,0.488,0.488,0.488,0.0,0.096,2.394,0.002,0.002,0.004,0.005
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,5,35.577,35.577,35.577,90.0,6.733,606.0,0.71,0.709,0.572,0.571,11.099,11.099,11.099,0.0,0.043,3.887,0.001,0.002,0.003,0.004
sleep,RuleKit_mincov-5_measure-C2,5,1678.885,1678.885,1678.885,5003.7,9.114,45611.6,0.736,0.734,0.607,0.604,164.04,164.04,164.04,168.104,0.047,1736.519,0.001,0.002,0.002,0.003
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-10,5,7.43,7.43,7.43,49.6,6.704,332.5,0.699,0.699,0.593,0.593,0.794,0.794,0.794,0.516,0.144,6.115,0.002,0.003,0.004,0.006
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-100,5,130.358,130.358,130.358,500.0,8.127,4063.7,0.721,0.72,0.624,0.622,13.002,13.002,13.002,0.0,0.054,26.879,0.001,0.002,0.002,0.004
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,5,1266.176,1266.176,1266.176,2501.9,8.982,22474.5,0.735,0.732,0.604,0.601,498.449,498.449,498.449,84.034,0.031,819.484,0.002,0.003,0.003,0.004
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,5,3094.1,3094.1,3094.1,6188.9,9.039,55945.8,0.734,0.729,0.581,0.576,1068.031,1068.031,1068.031,204.436,0.036,1973.613,0.002,0.004,0.006,0.007
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-3,5,1.903,1.903,1.903,14.0,5.95,83.3,0.617,0.617,0.533,0.532,0.203,0.203,0.203,0.0,0.208,2.908,0.001,0.004,0.004,0.006
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-5,5,3.273,3.273,3.273,24.8,6.156,152.6,0.664,0.664,0.567,0.566,0.384,0.384,0.384,0.422,0.167,2.171,0.002,0.003,0.002,0.003
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,5,5095.855,5095.855,5095.855,11567.9,8.74,101101.1,0.75,0.734,0.603,0.586,1541.672,1541.672,1541.672,316.822,0.027,2629.752,0.002,0.003,0.007,0.008
sleep,RuleKit_mincov-5_measure-Correlation,5,417.236,417.236,417.236,731.5,7.742,5660.4,0.709,0.708,0.586,0.586,33.336,33.336,33.336,50.326,0.124,359.642,0.005,0.007,0.014,0.013
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,5,12.208,12.208,12.208,50.0,6.19,309.5,0.706,0.706,0.56,0.56,1.174,1.174,1.174,0.0,0.078,3.923,0.001,0.003,0.001,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,5,236.632,236.632,236.632,499.8,7.598,3797.6,0.713,0.712,0.585,0.584,12.569,12.569,12.569,0.632,0.035,18.834,0.001,0.003,0.002,0.005
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,5,207.671,207.671,207.671,365.5,7.418,2711.6,0.712,0.712,0.587,0.586,61.047,61.047,61.047,25.761,0.041,198.743,0.001,0.003,0.001,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,5,640.345,640.345,640.345,834.4,7.648,6381.8,0.712,0.711,0.568,0.568,219.483,219.483,219.483,34.549,0.079,277.777,0.002,0.003,0.005,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,5,3.004,3.004,3.004,14.0,5.571,78.0,0.683,0.683,0.542,0.542,0.387,0.387,0.387,0.0,0.202,2.828,0.003,0.004,0.005,0.006
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,5,5.367,5.367,5.367,25.0,5.808,145.2,0.704,0.703,0.557,0.557,0.64,0.64,0.64,0.0,0.096,2.394,0.002,0.002,0.004,0.005
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,5,890.132,890.132,890.132,1046.7,7.544,7897.9,0.711,0.711,0.561,0.561,298.383,298.383,298.383,42.599,0.111,378.809,0.001,0.003,0.008,0.008
